,i,kernel_size,coef,SPE,Ch
0,0,3,0.3,0.1549423,0.020645494393899972
1,1,3,0.4,0.15217744,0.027527325858533302
2,2,3,0.5,0.1477871,0.03440915732316662
3,3,3,0.6,0.14380772,0.041290988787799944
4,4,3,0.7,0.14136797,0.04817282025243327
5,5,5,0.3,0.13821226,0.03440915732316662
6,6,5,0.4,0.13550366,0.04587887643088883
7,7,5,0.5,0.13447067,0.05734859553861104
8,8,5,0.6,0.13396987,0.06881831464633324
9,9,5,0.7,0.1336697,0.08028803375405545
10,10,7,0.3,0.13380677,0.048172820252433274
11,11,7,0.4,0.13303995,0.06423042700324437
12,12,7,0.5,0.13274874,0.08028803375405545
13,13,7,0.6,0.13259043,0.09634564050486655
14,14,7,0.7,0.13249673,0.11240324725567763
15,15,9,0.3,0.13270639,0.06193648318169991
16,16,9,0.4,0.132403,0.0825819775755999
17,17,9,0.5,0.13228646,0.10322747196949987
18,18,9,0.6,0.13223219,0.12387296636339983
19,19,9,0.7,0.13220859,0.14451846075729982
20,20,11,0.3,0.13232237,0.07570014611096657
21,21,11,0.4,0.13218339,0.10093352814795543
22,22,11,0.5,0.13214464,0.12616691018494428
23,23,11,0.6,0.13214199,0.15140029222193313
24,24,11,0.7,0.13215692,0.17663367425892199
